architecture,condition,snr_db,label,class_name,baseline_precision,baseline_recall,baseline_f1,baseline_support,augmented_precision,augmented_recall,augmented_f1,augmented_support,precision_delta,recall_delta,f1_delta
cnn,snr_20db,20.0,9,street_music,0.7589285714285714,0.85,0.8018867924528302,100,0.8514851485148515,0.86,0.8557213930348259,100,0.09255657708628007,0.010000000000000009,0.05383460058199563
cnn,snr_10db,10.0,0,air_conditioner,0.391304347826087,0.63,0.4827586206896552,100,0.4347826086956521,0.7,0.5363984674329502,100,0.04347826086956513,0.06999999999999995,0.05363984674329497
cnn,snr_10db,10.0,1,car_horn,0.9375,0.4545454545454545,0.6122448979591837,33,0.96,0.7272727272727273,0.8275862068965517,33,0.022499999999999964,0.2727272727272728,0.21534130893736803
cnn,snr_10db,10.0,2,children_playing,0.4278350515463917,0.83,0.564625850340136,100,0.5128205128205128,0.8,0.625,100,0.0849854612741211,-0.029999999999999916,0.060374149659863985
cnn,snr_10db,10.0,3,dog_bark,0.75,0.42,0.5384615384615384,100,0.9,0.54,0.675,100,0.15000000000000002,0.12000000000000005,0.1365384615384616
cnn,snr_10db,10.0,4,drilling,0.6875,0.77,0.7264150943396226,100,0.7307692307692307,0.76,0.7450980392156863,100,0.043269230769230727,-0.010000000000000009,0.0186829448760637
cnn,snr_10db,10.0,5,engine_idling,0.7959183673469388,0.4193548387096774,0.5492957746478874,93,0.819672131147541,0.5376344086021505,0.6493506493506493,93,0.023753763800602234,0.11827956989247312,0.10005487470276198
cnn,snr_10db,10.0,6,gun_shot,1.0,0.3125,0.4761904761904761,32,0.6222222222222222,0.875,0.7272727272727273,32,-0.37777777777777777,0.5625,0.2510822510822512
cnn,snr_10db,10.0,7,jackhammer,0.8041237113402062,0.8125,0.8082901554404145,96,0.8910891089108911,0.9375,0.9137055837563453,96,0.08696539757068489,0.125,0.10541542831593076
cnn,snr_10db,10.0,8,siren,0.95,0.2289156626506024,0.3689320388349514,83,1.0,0.3373493975903614,0.5045045045045045,83,0.050000000000000044,0.10843373493975902,0.13557246566955306
cnn,snr_10db,10.0,9,street_music,0.6639344262295082,0.81,0.7297297297297297,100,0.8854166666666666,0.85,0.8673469387755102,100,0.22148224043715847,0.039999999999999925,0.13761720904578045
cnn,snr_0db,0.0,0,air_conditioner,0.2906403940886699,0.59,0.3894389438943894,100,0.3333333333333333,0.67,0.4451827242524916,100,0.04269293924466344,0.08000000000000007,0.055743780358102235
cnn,snr_0db,0.0,1,car_horn,0.8181818181818182,0.2727272727272727,0.4090909090909091,33,0.7083333333333334,0.5151515151515151,0.5964912280701754,33,-0.10984848484848486,0.24242424242424243,0.1874003189792663
cnn,snr_0db,0.0,2,children_playing,0.3256880733944954,0.71,0.4465408805031446,100,0.4260355029585799,0.72,0.5353159851301115,100,0.10034742956408449,0.010000000000000009,0.08877510462696686
cnn,snr_0db,0.0,3,dog_bark,0.4,0.18,0.2482758620689655,100,0.6231884057971014,0.43,0.5088757396449705,100,0.22318840579710142,0.25,0.26059987757600495
cnn,snr_0db,0.0,4,drilling,0.7230769230769231,0.47,0.5696969696969697,100,0.7536231884057971,0.52,0.6153846153846154,100,0.030546265328874056,0.050000000000000044,0.04568764568764572
cnn,snr_0db,0.0,5,engine_idling,0.6176470588235294,0.2258064516129032,0.3307086614173228,93,0.5714285714285714,0.3010752688172043,0.3943661971830985,93,-0.04621848739495804,0.07526881720430112,0.06365753576577571
cnn,snr_0db,0.0,6,gun_shot,1.0,0.21875,0.358974358974359,32,0.55,0.6875,0.6111111111111112,32,-0.44999999999999996,0.46875,0.2521367521367522
cnn,snr_0db,0.0,7,jackhammer,0.7127659574468085,0.6979166666666666,0.7052631578947368,96,0.8172043010752689,0.7916666666666666,0.8042328042328042,96,0.10443834362846038,0.09375,0.09896964633806737
