experiment_id,architecture,training_condition,condition,snr_db,label,class_name,precision,recall,f1,support
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,6,gun_shot,0.9142857142857144,1.0,0.9552238805970148,32
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,7,jackhammer,0.8823529411764706,0.9375,0.9090909090909092,96
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,8,siren,0.6463414634146342,0.6385542168674698,0.6424242424242425,83
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,9,street_music,0.875,0.77,0.8191489361702128,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,0,air_conditioner,0.8571428571428571,0.48,0.6153846153846154,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,1,car_horn,0.6818181818181818,0.9090909090909092,0.7792207792207793,33
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,2,children_playing,0.5,0.81,0.6183206106870229,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,3,dog_bark,0.8536585365853658,0.7,0.7692307692307693,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,4,drilling,0.6440677966101694,0.76,0.6972477064220184,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,5,engine_idling,0.8735632183908046,0.8172043010752689,0.8444444444444444,93
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,6,gun_shot,0.8648648648648649,1.0,0.927536231884058,32
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,7,jackhammer,0.9081632653061223,0.9270833333333334,0.9175257731958762,96
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,8,siren,0.734375,0.5662650602409639,0.6394557823129252,83
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,9,street_music,0.8764044943820225,0.78,0.8253968253968254,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,0,air_conditioner,0.8181818181818182,0.54,0.6506024096385542,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,1,car_horn,0.6078431372549019,0.9393939393939394,0.7380952380952381,33
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,2,children_playing,0.4655172413793103,0.81,0.5912408759124088,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,3,dog_bark,0.8875,0.71,0.7888888888888889,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,4,drilling,0.6699029126213593,0.69,0.6798029556650246,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,5,engine_idling,0.8823529411764706,0.8064516129032258,0.8426966292134831,93
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,6,gun_shot,0.8648648648648649,1.0,0.927536231884058,32
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,7,jackhammer,0.9,0.9375,0.9183673469387756,96
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,8,siren,0.7818181818181819,0.5180722891566265,0.6231884057971014,83
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,9,street_music,0.8372093023255814,0.72,0.7741935483870968,100
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,0,air_conditioner,0.6027397260273972,0.44,0.5086705202312138,100
